,pid,Beryl,nclus,#pids
582,6358854e-51d2-47de-a278-5cbfd155feb6,ACAv,23,13
584,6358854e-51d2-47de-a278-5cbfd155feb6,ACAd,13,15
585,6358854e-51d2-47de-a278-5cbfd155feb6,MOs,72,39
586,c872ca65-8319-4901-856e-7dc507e2dd9c,NDB,55,5
588,c872ca65-8319-4901-856e-7dc507e2dd9c,CP,15,58
590,f083fcd5-e456-433d-8aa5-6ace0a7ac170,NLL,38,4
591,f083fcd5-e456-433d-8aa5-6ace0a7ac170,SAG,28,2
592,f083fcd5-e456-433d-8aa5-6ace0a7ac170,MRN,12,74
593,f083fcd5-e456-433d-8aa5-6ace0a7ac170,IC,15,16
594,f083fcd5-e456-433d-8aa5-6ace0a7ac170,SCm,13,38
595,f083fcd5-e456-433d-8aa5-6ace0a7ac170,SCs,10,19
596,501ab543-9d02-4085-956d-22b9b3eeb543,ZI,18,34
597,501ab543-9d02-4085-956d-22b9b3eeb543,VPL,30,17
599,501ab543-9d02-4085-956d-22b9b3eeb543,LGd,44,20
601,501ab543-9d02-4085-956d-22b9b3eeb543,CA3,69,59
602,501ab543-9d02-4085-956d-22b9b3eeb543,SSp-bfd,58,22
604,54455bff-7afd-4a16-835f-f79b7c30bae9,RSPv,10,20
605,54455bff-7afd-4a16-835f-f79b7c30bae9,RSPd,34,21
606,7c94d733-b913-4064-83f2-37422712204c,CP,104,58
607,7c94d733-b913-4064-83f2-37422712204c,MOp,64,30
609,6ad5a0a6-362a-4aec-8743-2e91469b0b62,TTd,68,11
610,6ad5a0a6-362a-4aec-8743-2e91469b0b62,DP,87,13
611,6ad5a0a6-362a-4aec-8743-2e91469b0b62,ILA,110,9
613,6ad5a0a6-362a-4aec-8743-2e91469b0b62,PL,71,15
616,80f6ffdd-f692-450f-ab19-cd6d45bfd73e,POL,17,13
617,80f6ffdd-f692-450f-ab19-cd6d45bfd73e,APN,21,40
618,80f6ffdd-f692-450f-ab19-cd6d45bfd73e,LP,32,59
619,80f6ffdd-f692-450f-ab19-cd6d45bfd73e,DG,13,95
620,80f6ffdd-f692-450f-ab19-cd6d45bfd73e,CA1,26,118
621,80f6ffdd-f692-450f-ab19-cd6d45bfd73e,VISa,59,41
622,ac839451-05bc-493e-b167-558b2b195baa,MRN,10,74
623,ac839451-05bc-493e-b167-558b2b195baa,APN,36,40
625,ac839451-05bc-493e-b167-558b2b195baa,CA1,26,118
626,ac839451-05bc-493e-b167-558b2b195baa,VISam,84,16
627,02cc03e4-8015-4050-bb42-6c832091febb,MRN,27,74
628,02cc03e4-8015-4050-bb42-6c832091febb,APN,32,40
630,02cc03e4-8015-4050-bb42-6c832091febb,CA1,14,118
631,02cc03e4-8015-4050-bb42-6c832091febb,VISa,14,41
634,afe87fbb-3a17-461f-b333-e22903f1d70d,Eth,48,16
635,afe87fbb-3a17-461f-b333-e22903f1d70d,LP,38,59
636,afe87fbb-3a17-461f-b333-e22903f1d70d,DG,27,95
637,afe87fbb-3a17-461f-b333-e22903f1d70d,CA1,17,118
638,afe87fbb-3a17-461f-b333-e22903f1d70d,VISa,44,41
642,5245b505-d0e7-4942-94d1-b33a084fab03,MOp,220,30
643,5245b505-d0e7-4942-94d1-b33a084fab03,MOs,23,39
644,29418b18-4db6-436f-a85e-b0f1d38d2e62,ENTm,139,12
645,29418b18-4db6-436f-a85e-b0f1d38d2e62,VISpl,51,4
646,29418b18-4db6-436f-a85e-b0f1d38d2e62,VISp,33,26
647,53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2,MRN,39,74
648,53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2,RN,52,11
649,53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2,SCm,56,38
651,b543e81e-4c8f-415e-82ec-631b177d19d2,PAG,14,36
652,b543e81e-4c8f-415e-82ec-631b177d19d2,SCm,16,38
654,b543e81e-4c8f-415e-82ec-631b177d19d2,RSPv,42,20
658,9150758e-1390-41d1-b426-96675e60dbea,APN,25,40
667,fe2d6fc9-b0c4-4256-b427-9c06950da925,PAG,10,36
668,fe2d6fc9-b0c4-4256-b427-9c06950da925,SCm,19,38
670,ea931b15-6214-4b80-8d88-7acbbe071bc0,MRN,34,74
671,ea931b15-6214-4b80-8d88-7acbbe071bc0,SCm,33,38
673,31811232-52ef-456c-9772-5021c00b2bc9,ZI,19,34
674,31811232-52ef-456c-9772-5021c00b2bc9,LGd,24,20
