source name,source #neur,target name,target #neur,Granger score,corrected p,eid
GPi,19,PARN,24,0.004215144953483052,0.014241301281867801,2e22c1fc-eec6-4856-85a0-7dba8668f646
RT,32,SSp-bfd,24,0.004214721977273444,0.014241301281867801,4ef13091-1bc8-4f32-9619-107bdf48540c
PPN,25,VPM,52,0.00421451790853604,0.014241301281867801,54238fd6-d2d0-4408-b1a9-d19d24fd29ce
LHA,14,LD,42,0.004211806579779409,0.014241301281867801,be164a14-6e73-42c3-ab60-d29c48693c0f
MRN,34,SCs,19,0.0042117787659474,1.0,30e5937e-e86a-47e6-93ae-d2ae3877ff8e
VPM,21,SSp-bfd,19,0.004210762280258362,0.014241301281867801,0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3
ACAv,12,PL,33,0.004210146886297044,0.014241301281867801,aad23144-0e52-4eac-80c5-c4ee2decb198
VPM,21,MG,11,0.004209105229625951,0.014241301281867801,781b35fd-e1f0-4d14-b2bb-95b7263082bb
MRN,45,SPF,11,0.004208459911383431,0.014241301281867801,2bdf206a-820f-402f-920a-9e86cd5388a4
PARN,15,CUL4 5,50,0.004206285368903868,0.014241301281867801,7939711b-8b4d-4251-b698-b97c1eaa846e
AId,37,VISpm,12,0.004204121307078368,0.014241301281867801,aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf
ANcr2,24,PRM,30,0.0042033479526778494,0.4631173842605353,22e04698-b974-4805-b241-3b547dbf37bf
APN,30,VISpm,43,0.004199613832051114,0.014241301281867801,b52182e7-39f6-4914-9717-136db589706e
PO,15,ACAv,20,0.004197242732133038,1.0,a4000c2f-fa75-4b3e-8f06-a7cf599b87ad
PRNr,68,MRN,28,0.004195030693295942,1.0,9fe512b8-92a8-4642-83b6-01158ab66c3c
APN,53,CA1,37,0.004194705663556282,0.014241301281867801,7f6b86f9-879a-4ea2-8531-294a221af5d0
PYR,12,FOTU,30,0.004194211942207358,0.014241301281867801,d3a2b25e-46d3-4f0b-ade6-4e32255f4c35
IP,58,CENT3,93,0.004186074468947496,0.18159949872613312,810b1e07-009e-4ebe-930a-915e4cd8ece4
SPIV,25,LAV,13,0.004184642164396473,0.014241301281867801,6bf810fd-fbeb-4eea-9ea7-b6791d002b22
SSs,19,AUDp,26,0.004184290312790417,0.4393693629033465,3f859b5c-e73a-4044-b49e-34bb81e96715
MRN,34,RSPd,20,0.004183308786623346,0.014241301281867801,3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b
PRNr,65,MRN,55,0.004180421407253783,0.014241301281867801,9eec761e-9762-4897-b308-a3a08c311e69
RT,36,IRN,47,0.004174718123754375,0.014241301281867801,fece187f-b47f-4870-a1d6-619afe942a7d
APN,63,MRN,21,0.004174623848326537,0.014241301281867801,5ae68c54-2897-4d3a-8120-426150704385
